name,lat,lon,Price/gallon,addr_street,website
7-Eleven,36.2174185,-115.1278366,3.13,,
Chevron,36.2172086,-115.1788871,3.87,,
7-Eleven,36.2179184,-115.1800324,3.83,,
Arco,36.2181093,-115.1618347,3.79,,
Chevron,36.2180075,-115.1607779,3.74,,
7-Eleven,36.2176353,-115.2070997,3.09,,
Rebel,36.2174773,-115.2119947,3.95,,
Chevron,36.2182974,-115.2398816,3.36,,
7-Eleven,36.2184289,-115.2427327,3.87,West Cheyenne Avenue,http://www.7eleven.com
Rebel,36.2178056,-115.2426817,3.09,West Cheyenne Avenue,https://www.rebeloil.com/
Terrible herbst,36.2203372,-115.3294108,3.87,Novat Street,http://www.teribleherbst.com
Chevron,36.2619876,-115.1794089,3.78,,
Arco,36.2695443,-115.2062998,3.81,,
Shell,36.2547167,-115.1536046,3.82,,
Texaco,36.239858,-115.161467,3.45,,
Chevron,36.2033285,-115.1611752,3.75,,
Chevron,36.1774053,-115.1612998,3.47,,
shell,36.1587397,-115.2806688,3.75,West Charleston Boulevard,https://www.shell.com/
Chevron,36.1584506,-115.313278,3.00,West Charleston Boulevard,http://www.teribelherst.com
Chevron,36.1596022,-115.3331983,2.96,West Charleston Boulevard,https://www.terribleherbst.com/
Chevron,36.1956546,-115.2516672,3.55,,
Terribles Herbst,36.1996652,-115.2814396,3.58,,http://www.terriblelherbst.com
76,36.2525174,-115.1526993,3.76,,
76,36.2711853,-115.2599339,3.10,,
speedee mart,36.1440574,-115.2980583,3.65,South Fort Apache Road,https://speedeemart.com/
7-Eleven,36.2254445,-115.0624901,3.18,North Nellis Boulevard,http://www.7eleven.com
7-Eleven,36.2357685,-115.0617962,3.76,North Las Vegas Boulevard,http://www.7eleven.com
7-Eleven,36.2402534,-115.0556588,3.46,North Las Vegas Boulevard,http://www.7eleven.com
Arco,36.1265529,-115.1987533,3.89,,
Terrible's,36.0347839,-115.0475489,3.93,,
76,36.123135,-115.15465,3.39,,
Shell,36.1260846,-115.1986905,3.65,,
Shell,36.2399213,-115.09678,3.33,,
Shell,36.0339818,-115.09992,3.46,,
Shell,36.1012659,-115.1885113,3.66,,
Terrible Herbst,36.0994458,-115.2426258,3.76,,
Terrible Herbst,36.1077986,-115.2976523,3.59,Peace Way,https://www.terribleherbst.com/
Terrible Herbst,36.1004062,-115.2967794,3.23,West Tropicana Avenue,https://www.terribleherbst.com/
Terrible Herbst,36.1595514,-115.3223113,3.88,West Charleston Boulevard,http://www.terribleherbst.com
Green Valley Grocery,36.0922434,-115.2978435,3.21,South Fort Apache Road,http://www.greenvallygrocery.com
7-Eleven,36.0847657,-115.3062644,3.26,West Russell Road,http://www.7eleven.com
Maverik,36.0697058,-115.297291,3.47,South Fort Apache Road,
rebel,36.159441,-115.2433082,3.88,,
Peak Mart,36.1152324,-115.2884209,3.12,,
7-Eleven,36.1143044,-115.260594,3.75,West Flamingo Road,http://www.7eleven.com
Rebel,36.1149049,-115.238737,2.96,,
Terrible’s Herbst,36.1440202,-115.2615725,3.30,West Sahara Avenue,https://www.terribleherbst.com/
7-Eleven,36.122736,-115.2975228,3.45,South Fort Apache Road,http://www.7-eleven.com
Terrible Herbst,36.2186069,-115.2600439,3.69,West Cheyenne Avenue,http://www.terribleherbst.com
Smith's,36.1005523,-115.3137328,3.62,,
7-Eleven,36.0843089,-115.306108,3.41,West Russel Road,http://www.7eleven.com
7-Eleven,36.12264,-115.2974619,3.69,South Fort Apache Road,http://www.7eleven.com
Stop n Shop,36.1292209,-115.2794081,3.88,,
Green Valley Grocery,36.1585323,-115.2627887,3.19,West Charleston Boulevard,http://www.greenvallygrocery.com
Rebel,36.1152368,-115.2965992,3.48,West Flamingo Road,https://www.rebeloil.com/
7-Eleven,36.0712321,-115.1190712,3.57,,
7-Eleven,36.0963504,-115.1192486,3.86,,
Arco,36.1450332,-115.3149649,3.49,,
Arco,36.14425,-115.1906729,3.47,West Sahara Avenue,
Pilot,36.2406577,-115.0978321,3.41,,
7-Eleven,36.2805311,-115.1344395,3.52,,
